HOUR,TOTALLOAD,WIND,SOLAR
1,20.67003101,0.82979282,0
2,20.65664045,0.83025363,0
3,20.64073525,0.830800966,0
4,20.6221179,0.83144163,0
5,20.60251592,0.832116092,0
6,20.58135801,0.832844032,0
7,20.5499812,0.833350924,0
8,20.50764386,0.833603334,0
9,20.45794938,0.833744928,0
10,20.39838739,0.833695261,0
11,20.3342638,0.833599335,0
12,20.26567049,0.833464989,0
13,20.18763267,0.833146655,0.056542965
14,20.10106475,0.832670827,0.157604182
15,20.01146199,0.832258878,0.316114981
16,19.91851916,0.831908199,0.415339853
17,19.82002905,0.831526554,0.455062445
18,19.71717514,0.831166326,0.425361351
19,19.60514126,0.830655121,0.300987588
20,19.48347297,0.829979055,0.175653663
21,19.35540378,0.829264995,0.105974552
22,19.21970973,0.828472092,0.020683198
23,19.11183991,0.828288879,0
24,19.03563193,0.828797909,0
25,18.97349042,0.829646007,0
26,18.93568847,0.831035319,0
27,18.90246968,0.832598558,0
28,18.87289649,0.834317857,0
29,18.86616249,0.836561202,0
30,18.87863482,0.839262467,0
31,18.88341624,0.84187682,0
32,18.88101142,0.844412952,0
33,18.88236984,0.847098455,0
34,18.88118826,0.849805716,0
35,18.89888007,0.849999998,0
36,18.93715153,0.849999998,0
37,18.9804391,0.849999998,0.073310682
38,19.03383547,0.849999998,0.115581917
39,19.05363172,0.849999998,0.231480331
40,19.03394262,0.849999998,0.315187005
41,18.99913786,0.847315875,0.335711744
42,18.93633291,0.833047153,0.326590503
43,18.86730947,0.817149632,0.280754733
44,18.79353181,0.799738866,0.199297121
45,18.69245085,0.777897717,0.093579075
46,18.56810291,0.752158867,0.025582594
47,18.45810432,0.726473692,0
48,18.36236606,0.700739091,0
49,18.26501584,0.673327538,0
50,18.17511502,0.645146501,0
51,18.0641845,0.612992733,0
52,17.93000089,0.576592433,0
53,17.79396142,0.538229668,0
54,17.6494222,0.49712586,0
55,17.5118931,0.468424716,0
56,17.38508603,0.453869575,0
57,17.25676545,0.445764086,0
58,17.1318375,0.448525898,0
59,17.00611615,0.453934064,0
60,16.87870445,0.461581476,0
61,16.75612837,0.479592521,0.026136076
62,16.63759859,0.506466568,0.047933174
63,16.50354891,0.530382344,0.097059335
64,16.35330599,0.551529287,0.182587297
65,16.19586383,0.574786359,0.211951415
66,16.02623493,0.597376123,0.17833014
67,15.85750809,0.628623614,0.104730392
68,15.69067999,0.66928302,0.045791115
69,15.51508343,0.712549559,0.013658583
70,15.33363391,0.760643047,0.001015197
71,15.16671947,0.796953816,0
72,15.01515267,0.819162592,0
73,14.87141674,0.836749178,0
74,14.74105916,0.844805774,0
75,14.6098127,0.849999998,0
76,14.47729987,0.849999998,0
77,14.35561057,0.849999998,0
78,14.24202379,0.842275756,0
79,14.12597359,0.837757866,0
80,14.00819725,0.84011149,0
81,13.89215788,0.843118693,0
82,13.77554104,0.849999998,0
83,13.66811203,0.849999998,0
84,13.57056213,0.843591016,0
85,13.47631224,0.837103014,0.012596981
86,13.38771442,0.828765538,0.010622437
87,13.34086192,0.823641577,0.029925149
88,13.33899616,0.823097161,0.059176344
89,13.36713423,0.822871331,0.0703395
90,13.43582343,0.824608743,0.084540084
91,13.52312982,0.827266317,0.080041922
92,13.62875405,0.830541324,0.048465407
93,13.77347554,0.836453445,0.02076061
94,13.95358997,0.844820736,0.004588003
95,14.145784,0.848759269,0
96,14.35136499,0.848009773,0
97,14.57986774,0.845809366,0
98,14.82630403,0.840402448,0
99,15.11110764,0.836328136,0
100,15.43627377,0.833949219,0
101,15.78814742,0.829548529,0
102,16.17196803,0.824143898,0
103,16.52437903,0.820959753,0
104,16.83810559,0.819881638,0
105,17.14718998,0.82010881,0
106,17.43344173,0.822445601,0
107,17.73097722,0.824151086,0
108,18.04215571,0.825171812,0
109,18.33371173,0.827572127,0.081780745
110,18.61230769,0.830801558,0.102983101
111,18.92979119,0.833992022,0.16395321
112,19.2860685,0.837317288,0.191083869
113,19.66027235,0.840835334,0.239315434
114,20.06506332,0.844382212,0.246504078
115,20.46098855,0.849054835,0.233824422
116,20.84534533,0.849999998,0.188746042
117,21.24806148,0.849999998,0.098123513
118,21.66018264,0.849999998,0.007047527
119,22.00859638,0.849999998,0
120,22.28894766,0.849999998,0
121,22.52889702,0.842025325,0
122,22.70787064,0.819651869,0
123,22.87468052,0.794914538,0
124,23.03018199,0.768036233,0
125,23.13117303,0.734153502,0
126,23.18645149,0.694176589,0
127,23.23740934,0.654734324,0
128,23.28123584,0.615673076,0
129,23.3027092,0.574291133,0
130,23.31068447,0.532125601,0
131,23.26741499,0.483842852,0
132,23.16966319,0.429005016,0
133,23.04250547,0.371449517,0.017216121
134,22.87648698,0.309894986,0.018884289
135,22.7649197,0.266895216,0.045973021
136,22.71890686,0.245098053,0.071841594
137,22.68697031,0.232957845,0.078806919
138,22.69590491,0.237069038,0.074856523
139,22.69659491,0.245299862,0.067983142
140,22.68532576,0.257043131,0.04632028
141,22.7104512,0.284361581,0.019131499
142,22.76227385,0.325048075,0.021098216
143,22.76297071,0.361354817,0
144,22.71240435,0.393554706,0
145,22.64198787,0.429006826,0
146,22.53258255,0.463540338,0
147,22.44275256,0.511121335,0
148,22.376423,0.57288711,0
149,22.28878488,0.638638784,0
150,22.19302521,0.711704127,0
151,22.15754386,0.767166513,0
152,22.18450341,0.801548303,0
153,22.25141083,0.829070248,0
154,22.37699314,0.842370796,0
155,22.51147583,0.849999998,0
156,22.65420107,0.849999998,0
157,22.84703095,0.849999998,0.089075973
158,23.08078717,0.844252618,0.103001343
159,23.32271285,0.839111827,0.178651185
160,23.5759235,0.844375157,0.251402152
161,23.85101984,0.849999998,0.264435304
162,24.14125169,0.849999998,0.273144414
163,24.47877917,0.849999998,0.225622509
164,24.86618203,0.849999998,0.158482589
165,25.28280296,0.849947696,0.072552057
166,25.73670497,0.839751357,0.011060865
167,26.07407987,0.832581169,0
168,26.27801398,0.830293379,0
169,26.42717213,0.82738321,0
170,26.47719647,0.825767053,0
171,26.51264352,0.824968373,0
172,26.53822404,0.824571102,0
173,26.47172634,0.826556902,0
174,26.32907249,0.830846825,0
175,26.22928179,0.828473409,0
176,26.17082291,0.819005776,0
177,26.10555696,0.806745802,0
178,26.06180093,0.789369428,0
179,25.94627964,0.772568605,0
180,25.75195751,0.756791595,0
181,25.5476718,0.737251699,0.112090743
182,25.31161235,0.715202901,0.163541669
183,25.10727471,0.699929429,0.292424513
184,24.94775695,0.691778935,0.376863885
185,24.78686478,0.687253368,0.413308403
186,24.6441358,0.688855041,0.413868252
187,24.49818509,0.690078344,0.351906741
188,24.34558853,0.690714762,0.247483527
189,24.21457875,0.696231836,0.110420138
190,24.10100413,0.705362176,0.021698019
191,23.93250224,0.713279654,0
192,23.7070253,0.720290014,0
193,23.45698627,0.727932691,0
194,23.16404787,0.735127352,0
195,22.87773924,0.746275207,0
196,22.60170541,0.761659369,0
197,22.29605756,0.778264249,0
198,21.97182981,0.797126797,0
199,21.71494537,0.811161563,0
200,21.52951102,0.819397079,0
201,21.38302721,0.825956867,0
202,21.29912019,0.82876987,0
203,21.2189106,0.831258954,0
204,21.14087786,0.833708179,0
205,21.11568388,0.832553823,0.009042659
206,21.13223341,0.828456727,0.036895534
207,21.14387567,0.827603106,0.101528588
208,21.15363348,0.83001922,0.176058239
209,21.17749029,0.833119797,0.240047884
210,21.20520842,0.838420796,0.23709524
211,21.27925731,0.841328428,0.227672065
212,21.40279566,0.84150988,0.160810943
